alpha,mean_unexpectedness,mean_relevance,serendipity
0.0,0.7310744371769806,2.3734073461003415,0.6020000000000001
0.15,0.9415424559567339,2.326029772547354,0.9770000000000002
0.25,0.9666018196702635,2.302066818729405,0.998
0.3,0.9733943628673022,2.2919376224386636,1.0
0.35,0.9783461909109405,2.282392765316567,1.0
0.4,0.98196492379642,2.2737113689523287,1.0
0.5,0.9898001638840545,2.248261162072944,0.9990000000000001
0.65,0.9953785446462553,2.218657442010139,0.995
0.75,0.99786370370084,2.1956507757126977,0.9890000000000001
0.85,0.9991122685058726,2.175871085955549,0.978
1.0,1.0,1.6033919330108464,0.16400000000000006
