alpha,unexpectedness,relevance,ild,serendipity,is_knee
0.0,0.3440022800055146,3.081874199914932,0.8266374814814813,0.38127451869395373,False
0.0,0.3440022800055146,3.081874199914932,0.8266374814814813,0.38127451869395373,False
0.04401836820031574,0.39128167886142357,3.0751560485076506,0.8248521660265102,0.4059402483993655,False
0.07883775506893131,0.42898954808862855,3.0620996347403024,0.8211224226972937,0.42355217304799425,False
0.10976555158875906,0.46269193415370075,3.0465986705667927,0.8163112580079434,0.43771672104574194,False
0.13831409916680543,0.4939618114519926,3.030344021970292,0.8107757931139628,0.44950482662520713,False
0.16230753235509418,0.5206027147598575,3.0147799069014707,0.8039840641739842,0.45855019535510566,False
0.17855314668564887,0.5393813015489168,2.9998606225885007,0.7943953025445352,0.464523019607456,False
0.19965369339459607,0.5640114339245298,2.976169210295744,0.7770989172624981,0.4718429990319147,False
0.22452008129478374,0.5920811594755354,2.944979707134366,0.7531540889829265,0.47929248698484633,True
0.24384735921401454,0.6121611745366425,2.920637002454467,0.7345967709233163,0.4837781388154947,False
0.26877764555914563,0.6348227645064521,2.8902936788658584,0.7117576767537764,0.4877694619559919,False
0.29324514070599605,0.6547283471916948,2.8587350648104333,0.6879644891449874,0.49056948979643816,False
0.3184721269437285,0.6733383453553478,2.826049331290752,0.6643830998682214,0.49278949351359813,False
0.3429888420988353,0.6912344246043943,2.7905283226311206,0.6415446741924656,0.494283961045276,False
0.3618662825340125,0.7103638438852997,2.74909828766233,0.6206196269191839,0.49379680104243295,False
0.3747761816945116,0.7270647099374817,2.709376656615399,0.6030591239034615,0.49202715830287835,False
0.38730737196618603,0.7448325709876419,2.664783082651946,0.5889994568466131,0.48948547646466617,False
0.400199713923094,0.7634972784037115,2.6156362637480792,0.583059337223333,0.48634325201971607,False
0.4115515388850168,0.7812706577207222,2.5661956630212672,0.5858559362018112,0.48113948959039904,False
0.4215366303937695,0.7988262552971359,2.515308340769091,0.5922036169338752,0.47338723023294904,False
0.42909376258231346,0.8128950955921184,2.473448752840042,0.5989482161812556,0.4659570443901039,False
0.4375038202370445,0.8289673200377444,2.4246201759561004,0.6079840131453855,0.4564805274312058,False
0.44400764293338724,0.8414611765571411,2.385953776875577,0.6158044763910032,0.4485144156674306,False
0.452286306617912,0.8571392486625474,2.336525613539658,0.6264549951935515,0.4378758068183873,False
0.45917124020900674,0.8697412500841775,2.2959826360813587,0.6356234407886168,0.42884657511131963,False
0.46848108741239836,0.885752401984759,2.243186474170433,0.64800899041664,0.416772382557389,False
0.4762507672251227,0.8978650840632701,2.2019526228420463,0.6579374671732126,0.4071572699535656,False
0.48800529119883795,0.9133136429530533,2.146635500713901,0.6714252060234656,0.39412204673495804,False
0.4994921267046659,0.9241696364732687,2.103515320801593,0.6817880513463378,0.38403355608882606,False
0.5175345383830204,0.9365540454321744,2.0483507953710443,0.6949915555158659,0.37120065547439884,False
0.53096767701753,0.945063562862268,2.009547145620036,0.7046960231944799,0.3619671951676515,False
0.5509918595743895,0.9565667901067598,1.9556580825828516,0.7186860268612554,0.34886614070291094,False
0.5656088709492968,0.9640281833101559,1.9195733796468388,0.7283402265900085,0.3399153903428121,False
0.5913326604220337,0.9751321138110708,1.863415628136135,0.7436762631310073,0.32570607871773705,False
0.6258704225160123,0.9857024844909694,1.8044416958473544,0.7596803645115635,0.31043678624276727,False
0.669871432177533,0.9920996174110823,1.7579921680692505,0.7706937464701971,0.29827263669530746,False
0.8667339551657358,0.9991069112342844,1.6760432754762293,0.7852458673082845,0.2753377469890631,False
1.0,0.9999999999999999,1.5643695564985276,0.7903077777777778,0.2412764088475579,False
1.0,0.9999999999999999,1.5643695564985276,0.7903077777777778,0.2412764088475579,False
